Event ID;Date;Region;Source;Ship Type;Area;Location;Pollutant;Estimated Litres
254;2005-10-06 00:00:00;Cairns;ship;recreational;coastal waters;Marina Mirage, Port Douglas;diesel;
255;2005-10-06 00:00:00;Cairns;ship;commercial;port limits;No. 4 Wharf, Cairns;bilge;5.0
256;2005-10-07 00:00:00;Cairns;ship;unknown;coastal waters;Marina Mirage, Port Douglas;bilge;
257;2005-10-10 00:00:00;Cairns;ship;recreational;port limits;Mourilyan Harbour;diesel;
258;2005-10-10 00:00:00;Townsville;ship;commercial;port limits;Berth 10, Townsville Harbour;other oil;
259;2005-10-11 00:00:00;Cairns;unknown;unknown;port limits;Thursday Island Harbour;diesel;
260;2005-10-15 00:00:00;Brisbane;unknown;unknown;port limits;Shaftston Reach, Brisbane River;diesel;
261;2005-10-20 00:00:00;Cairns;unknown;unknown;port limits;Smiths Creek, Cairns;bilge;20.0
262;2005-10-23 00:00:00;Gladstone;ship;recreational;coastal waters;Fitzroy River, Rockhampton;diesel;
263;2005-10-28 00:00:00;Cairns;ship;unknown;port limits;Marina Mirage, Port Douglas;bilge;
264;2005-10-28 00:00:00;Cairns;ship;fishing;coastal waters;Mulgrave River, Deeral;bilge;
265;2005-11-07 00:00:00;Cairns;ship;commercial;coastal waters;Armistice Reef;bilge;
266;2005-11-08 00:00:00;Cairns;unknown;unknown;port limits;Marlin Marina Cairns;sheen;
267;2005-11-14 00:00:00;Cairns;unknown;unknown;port limits;Marlin Marina Cairns;diesel;10.0
268;2005-12-04 00:00:00;Cairns;unknown;unknown;coastal waters;Marina Mirage, Port Douglas;diesel;
269;2005-12-07 00:00:00;Cairns;unknown;unknown;port limits;Commercial Fishermans Base 2, Smiths Creek, Cairns;sheen;
270;2005-12-31 00:00:00;Cairns;ship;recreational;coastal waters;Marina Mirage, Port Douglas;petroleum;
271;2006-01-16 00:00:00;Gladstone;ship;commercial;port limits;Bunker oil spill from Larcom in Gladstone;other oil;1000.0
272;2006-01-20 00:00:00;Gladstone;ship;fishing;coastal waters;Fire on trawler 28nm NNE Cape Capricorn;diesel;3000.0
273;2006-03-06 00:00:00;Cairns;ship;commercial;coastal waters;Marina Mirage, Port Douglas;diesel;
274;2006-03-31 00:00:00;Cairns;unknown;unknown;port limits;Commercial Fishermans Base 2, Smiths Creek, Cairns;bilge;20.0
275;2006-04-13 00:00:00;Cairns;ship;recreational;port limits;Marlin Marina, Cairns;bilge;20.0
276;2006-04-23 00:00:00;Townsville;land;n/a;port limits;Berth 4 Townsville - Road tanker refuelling ship;diesel;200.0
277;2006-04-26 00:00:00;Mackay;ship;recreational;coastal waters;Pioneer Bay, Airlie Beach;sheen;
278;2006-05-02 00:00:00;Mackay;ship;commercial;port limits;Hay Point Anchorage;hydraulic;30.0
279;2006-05-30 00:00:00;Cairns;ship;recreational;coastal waters;Marina Mirage, Port Douglas;diesel;5.0
280;2006-06-05 00:00:00;Townsville;other;n/a;port limits;Reef HQ Wharf Townsville - vessel sunk at wharf;diesel;50.0
281;2006-06-20 00:00:00;Townsville;land;n/a;port limits;Townsville Harbour Berths 4,6,and 7 -  from stormwater;diesel;
282;2006-06-27 00:00:00;Gold Coast;ship;commercial;coastal waters;Gold Coast City Marina - vessel sunk at marina berth;other oil;75.0
283;2006-07-09 00:00:00;Mackay;unknown;n/a;port limits;Mackay Marina;sheen;1.0
284;2006-08-08 00:00:00;Cairns;unknown;n/a;coastal waters;Mirana Mirage, Port Douglas;diesel;
285;2006-08-12 00:00:00;Cairns;ship;commercial;coastal waters;Near Hope Island;bilge;
286;2006-08-12 00:00:00;Gladstone;ship;fishing;coastal waters;Rosslyn Bay Boat Harbour - FV Kerry K;diesel;
287;2006-08-17 00:00:00;Gladstone;ship;commercial;port limits;Fishermans Landing  No.2, Gladstone;other oil;25.0
288;2006-08-25 00:00:00;Cairns;ship;unknown;coastal waters;Offshore from Port Douglas;unknown;
289;2006-08-25 00:00:00;Cairns;ship;commercial;coastal waters;40 miles SW of Prince of Wales Island;sheen;
290;2006-09-04 00:00:00;Gladstone;ship;fishing;port limits;Gladstone Marina;diesel;
291;2006-09-09 00:00:00;Townsville;ship;commercial;port limits;Townsville harbour berth 6;diesel;
292;2006-09-30 00:00:00;Gold Coast;ship;recreational;coastal waters;Budds Beach, Nerang River, Surfers Paradice;diesel;
293;2006-10-11 00:00:00;Townsville;land;n/a;port limits;Townsville harbour berthS 8 & 9;other oil;
294;2006-10-13 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba Boat Harbour;sheen;
295;2006-10-23 00:00:00;Cairns;ship;unknown;coastal waters;Noahs Beach, Cape Tribulation;bilge;
296;2006-11-08 00:00:00;Gladstone;ship;commercial;port limits;South Trees Wharf, Gladstone;bilge;
297;2006-11-14 00:00:00;Townsville;land;n/a;port limits;Queensland Nickel Pipeline, Civic Theatre and drain;other oil;
298;2006-11-16 00:00:00;Cairns;unknown;unknown;port limits;Marlin Marina, Trinity Inlet, Cairns;diesel;
299;2006-12-02 00:00:00;Cairns;ship;recreational;port limits;Marlin Marina, Trinity Inlet, Cairns;other oil;
300;2006-12-08 00:00:00;Cairns;ship;commercial;coastal waters;Marina Mirage, Port Douglas;diesel;
301;2006-12-12 00:00:00;Cairns;ship;commercial;coastal waters;4nm east of Double Island, Cairns;bilge;
302;2006-12-15 00:00:00;Gladstone;ship;fishing;coastal waters;17m ENE od Baffle Creek;diesel;
303;2006-12-17 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba Boat Harbour;diesel;
304;2006-12-20 00:00:00;Brisbane;ship;recreational;coastal waters;Lawries Marina, Mooloolaba;sheen;
305;2006-12-27 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba Boat Harbour;diesel;
306;2007-01-01 00:00:00;Cairns;ship;commercial;port limits;Lorim Point, Weipa;other;
307;2007-01-10 00:00:00;Brisbane;unknown;unknown;coastal waters;Petrie Bight, Brisbane River;sheen;
308;2007-01-14 00:00:00;Gladstone;ship;commercial;port limits;Gladstone Marina;other;
309;2007-01-15 00:00:00;Gladstone;unknown;unknown;port limits;South Trees Wharf, Gladstone;sheen;
310;2007-01-22 00:00:00;Brisbane;ship;recreational;coastal waters;Mooloolaba Boat Harbour;sheen;
311;2007-01-30 00:00:00;Brisbane;unknown;unknown;port limits;Maritime 2, Hamilton Reach, Brisbane River;diesel;
312;2007-02-08 00:00:00;Brisbane;ship;recreational;coastal waters;Raby Bay Marina, Brisbane;diesel;
313;2007-02-11 00:00:00;Mackay;ship;commercial;coastal waters;2nm East of Hay Point;sheen;
314;2007-02-16 00:00:00;Mackay;ship;commercial;coastal waters;Deadman Island off Cape Palmerston;bilge;
315;2007-02-17 00:00:00;Gladstone;ship;recreational;coastal waters;Long Beach, Zitzie - North of Gladstone;diesel;
316;2007-02-19 00:00:00;Townsville;ship;commercial;coastal waters;Cardwell;diesel;
317;2007-03-03 00:00:00;Mackay;ship;commercial;port limits;Mackay Marina;diesel;50.0
318;2007-03-05 00:00:00;Brisbane;unknown;unknown;coastal waters;Browns Wharf, Mooloolaba;sheen;
319;2007-03-06 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba Boat Harbour;diesel;
320;2007-03-09 00:00:00;Townsville;ship;fishing;coastal waters;17nm East of Magnetic Island - sunken trawler;diesel;
321;2007-03-12 00:00:00;Brisbane;ship;commercial;coastal waters;Mooloolaba Boat Harbour;hydraulic;15.0
322;2007-03-13 00:00:00;Brisbane;ship;fishing;coastal waters;Mooloolaba Boat Harbour;diesel;3.0
323;2007-03-22 00:00:00;Brisbane;unknown;unknown;coastal waters;Manly Marina;sheen;
324;2007-03-27 00:00:00;Brisbane;ship;recreational;coastal waters;Redland Bay esplanade;other;
325;2007-04-28 00:00:00;Brisbane;unknown;unknown;coastal waters;Dockside Marina, Brisbane River;diesel;
326;2007-05-01 00:00:00;Cairns;ship;commercial;coastal waters;Marina Mirage, Port Douglas;diesel;50.0
327;2007-05-02 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba Boat Harbour;other;
328;2007-05-06 00:00:00;Brisbane;ship;recreational;coastal waters;Horseshoe Bay, Peel Island;diesel;
329;2007-05-12 00:00:00;Gold Coast;ship;recreational;coastal waters;Paradise Point, Gold Coast;petroleum;700.0
330;2007-05-13 00:00:00;Brisbane;land;n/a;port limits;Shell Terminal, Pinkenba, Brisbane River;sheen;
331;2007-05-16 00:00:00;Brisbane;unknown;unknown;port limits;Fisherman Islands, Berth 8, Brisbane River;sheen;
332;2007-05-21 00:00:00;Brisbane;ship;commercial;port limits;No16 beacon, Bar Cutting, Brisbane;hydraulic;7.0
333;2007-05-21 00:00:00;Brisbane;unknown;unknown;port limits;Snapper Creek, Tin Can Bay;diesel;
334;2007-05-23 00:00:00;Brisbane;land;n/a;port limits;Caltex Crude Berth, Fisherman Islands;other;0.2
335;2007-05-26 00:00:00;Mackay;unknown;unknown;coastal waters;Abel Point Marina, Airlie Beach;sheen;2.0
336;2007-05-28 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba Boat Harbour;sheen;
337;2007-05-29 00:00:00;Brisbane;ship;fishing;coastal waters;Mooloolaba Boat Harbour;bilge;10.0
338;2007-05-30 00:00:00;Mackay;ship;commercial;coastal waters;Abel Point Marina, Airlie Beach;bilge;20.0
339;2007-06-08 00:00:00;Gladstone;ship;government;port limits;Auckland Point, Gladstone;diesel;20.0
